,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3095972,34571772,2019-06-29,t,$165.00,$165.00,1,1125
3095973,34571772,2019-06-30,t,$165.00,$165.00,1,1125
3096367,34572250,2019-06-25,t,$280.00,$280.00,2,1125
3096368,34572250,2019-06-26,t,$280.00,$280.00,2,1125
3096369,34572250,2019-06-27,t,$280.00,$280.00,2,1125
3096370,34572250,2019-06-28,t,$380.00,$380.00,2,1125
3096371,34572250,2019-06-29,t,$380.00,$380.00,2,1125
3096372,34572250,2019-06-30,t,$280.00,$280.00,2,1125
3096847,34675113,2019-06-25,t,$200.00,$200.00,1,365
3096848,34675113,2019-06-26,t,$200.00,$200.00,1,365
3096849,34675113,2019-06-27,t,$200.00,$200.00,1,365
3096850,34675113,2019-06-28,t,$200.00,$200.00,1,365
3096851,34675113,2019-06-29,t,$200.00,$200.00,1,365
3096852,34675113,2019-06-30,t,$200.00,$200.00,1,365
3097578,34676830,2019-06-26,t,$100.00,$100.00,1,1125
3097579,34676830,2019-06-27,t,$100.00,$100.00,1,1125
3097580,34676830,2019-06-28,t,$100.00,$100.00,1,1125
3097581,34676830,2019-06-29,t,$100.00,$100.00,1,1125
3097582,34676830,2019-06-30,t,$100.00,$100.00,1,1125
3098200,34572987,2019-06-25,t,$190.00,$190.00,2,1125
3098201,34572987,2019-06-26,t,$190.00,$190.00,2,1125
3098202,34572987,2019-06-27,t,$190.00,$190.00,2,1125
3098203,34572987,2019-06-28,t,$290.00,$290.00,2,1125
3098204,34572987,2019-06-29,t,$290.00,$290.00,2,1125
3098205,34572987,2019-06-30,t,$190.00,$190.00,2,1125
3099875,34678188,2019-06-25,t,$59.00,$53.00,1,1125
3100021,34573348,2019-06-25,t,$190.00,$190.00,2,1125
3100022,34573348,2019-06-26,t,$190.00,$190.00,2,1125
3100023,34573348,2019-06-27,t,$190.00,$190.00,2,1125
3100024,34573348,2019-06-28,t,$290.00,$290.00,2,1125
3100025,34573348,2019-06-29,t,$290.00,$290.00,2,1125
3100026,34573348,2019-06-30,t,$190.00,$190.00,2,1125
3100755,34577244,2019-06-29,t,$425.00,$425.00,3,30
3100756,34577244,2019-06-30,t,$425.00,$425.00,3,30
3101756,34679272,2019-06-27,t,$150.00,$150.00,2,1125
3101759,34679272,2019-06-30,t,$100.00,$100.00,2,1125
3102121,34680112,2019-06-27,t,$100.00,$100.00,2,1125
3102122,34680112,2019-06-28,t,$104.00,$104.00,2,1125
3102123,34680112,2019-06-29,t,$104.00,$104.00,2,1125
3102124,34680112,2019-06-30,t,$100.00,$100.00,2,1125
3102283,34577603,2019-06-25,t,$400.00,$400.00,3,1125
3102284,34577603,2019-06-26,t,$400.00,$400.00,3,1125
3102285,34577603,2019-06-27,t,$400.00,$400.00,3,1125
